timestamp,hours_from_start,breach_flow_cfs,breach_velocity_fts,breach_width_ft,breach_bottom_elev_ft
04SEP2026 00:00:00,-0.0,nan,nan,nan,nan
04SEP2026 00:01:00,0.0168,12861.486,16.571,10.569,170.0
04SEP2026 00:02:00,0.0336,19774.391,16.369,21.502,170.0
04SEP2026 00:03:00,0.0504,26038.025,16.152,32.436,170.0
04SEP2026 00:04:00,0.0672,31745.412,15.93,43.369,170.0
04SEP2026 00:05:00,0.084,37025.613,15.705,54.302,170.0
04SEP2026 00:06:00,0.1008,41392.34,15.504,65.235,170.0
04SEP2026 00:07:00,0.1176,45302.961,15.308,76.169,170.0
04SEP2026 00:08:00,0.1344,48774.324,15.118,87.102,170.0
04SEP2026 00:09:00,0.1512,52021.238,14.929,98.036,170.0
04SEP2026 00:10:00,0.1656,55139.625,14.743,108.969,170.0
04SEP2026 00:11:00,0.1824,57981.816,14.56,119.903,170.0
04SEP2026 00:12:00,0.1992,60687.293,14.379,130.836,170.0
04SEP2026 00:13:00,0.21599999999999997,62953.555,14.204,141.77,170.0
04SEP2026 00:14:00,0.2328,64845.973,14.035,152.703,170.0
04SEP2026 00:15:00,0.2496,66470.703,13.87,163.636,170.0
04SEP2026 00:16:00,0.2664,67908.445,13.71,174.57,170.0
04SEP2026 00:17:00,0.2832,67601.133,13.552,185.503,170.0
04SEP2026 00:18:00,0.30000000000000004,67157.617,13.398,196.436,170.0
04SEP2026 00:19:00,0.31679999999999997,66808.07,13.253,207.369,170.0
04SEP2026 00:20:00,0.3336,66446.414,13.106,218.303,170.0
04SEP2026 00:21:00,0.3504,66068.0,12.963,229.236,170.0
04SEP2026 00:22:00,0.36719999999999997,65609.688,12.824,240.169,170.0
04SEP2026 00:23:00,0.384,65065.184,12.689,251.102,170.0
04SEP2026 00:24:00,0.4008,64514.27,12.557,262.035,170.0
04SEP2026 00:25:00,0.41759999999999997,63958.273,12.427,272.969,170.0
04SEP2026 00:26:00,0.4344,63426.328,12.301,283.902,170.0
04SEP2026 00:27:00,0.44880000000000003,62903.848,12.177,294.835,170.0
04SEP2026 00:28:00,0.4656,82892.992,12.24,305.768,170.0
04SEP2026 00:29:00,0.4824,82919.172,12.118,316.702,170.0
04SEP2026 00:30:00,0.4992,82040.18,12.0,327.635,170.0
04SEP2026 00:31:00,0.516,79808.195,11.889,328.0,170.0
04SEP2026 00:32:00,0.5328,77627.469,11.78,328.0,170.0
04SEP2026 00:33:00,0.5496,75532.711,11.673,328.0,170.0
04SEP2026 00:34:00,0.5664,73519.328,11.569,328.0,170.0
04SEP2026 00:35:00,0.5831999999999999,71582.969,11.467,328.0,170.0
04SEP2026 00:36:00,0.6000000000000001,69719.625,11.367,328.0,170.0
04SEP2026 00:37:00,0.6168,67925.523,11.269,328.0,170.0
04SEP2026 00:38:00,0.6335999999999999,66197.281,11.173,328.0,170.0
04SEP2026 00:39:00,0.6504,64531.488,11.079,328.0,170.0
04SEP2026 00:40:00,0.6672,62925.203,10.987,328.0,170.0
04SEP2026 00:41:00,0.684,61375.516,10.896,328.0,170.0
04SEP2026 00:42:00,0.7008,59879.691,10.808,328.0,170.0
04SEP2026 00:43:00,0.7176,58435.332,10.72,328.0,170.0
04SEP2026 00:44:00,0.7343999999999999,57040.023,10.635,328.0,170.0
04SEP2026 00:45:00,0.7487999999999999,55691.512,10.551,328.0,170.0
04SEP2026 00:46:00,0.7656,54387.777,10.469,328.0,170.0
04SEP2026 00:47:00,0.7824,53126.781,10.387,328.0,170.0
04SEP2026 00:48:00,0.7992000000000001,51906.637,10.308,328.0,170.0
04SEP2026 00:49:00,0.8160000000000001,50725.707,10.23,328.0,170.0
04SEP2026 00:50:00,0.8328,49582.203,10.153,328.0,170.0
04SEP2026 00:51:00,0.8496,48474.613,10.077,328.0,170.0
04SEP2026 00:52:00,0.8664000000000001,47401.402,10.003,328.0,170.0
04SEP2026 00:53:00,0.8832,46361.18,9.93,328.0,170.0
04SEP2026 00:54:00,0.8999999999999999,45352.578,9.858,328.0,170.0
04SEP2026 00:55:00,0.9168,44374.359,9.787,328.0,170.0
04SEP2026 00:56:00,0.9336,43425.211,9.717,328.0,170.0
04SEP2026 00:57:00,0.9504000000000001,42504.02,9.648,328.0,170.0
04SEP2026 00:58:00,0.9672000000000001,41609.652,9.581,328.0,170.0
04SEP2026 00:59:00,0.984,40741.18,9.514,328.0,170.0
04SEP2026 01:00:00,1.0008,39897.535,9.449,328.0,170.0
04SEP2026 01:01:00,1.0176,39077.738,9.384,328.0,170.0
04SEP2026 01:02:00,1.0344,38280.922,9.321,328.0,170.0
04SEP2026 01:03:00,1.0488,37506.328,9.258,328.0,170.0
04SEP2026 01:04:00,1.0656,36753.074,9.196,328.0,170.0
04SEP2026 01:05:00,1.0824,36020.449,9.135,328.0,170.0
04SEP2026 01:06:00,1.0992,35307.773,9.075,328.0,170.0
04SEP2026 01:07:00,1.116,34614.309,9.016,328.0,170.0
04SEP2026 01:08:00,1.1328,33939.34,8.958,328.0,170.0
04SEP2026 01:09:00,1.1496,33282.371,8.9,328.0,170.0
04SEP2026 01:10:00,1.1663999999999999,32642.697,8.844,328.0,170.0
04SEP2026 01:11:00,1.1831999999999998,32019.766,8.788,328.0,170.0
04SEP2026 01:12:00,1.2000000000000002,31413.053,8.733,328.0,170.0
04SEP2026 01:13:00,1.2168,30821.955,8.678,328.0,170.0
04SEP2026 01:14:00,1.2336,30246.018,8.625,328.0,170.0
04SEP2026 01:15:00,1.2504,29684.748,8.572,328.0,170.0
04SEP2026 01:16:00,1.2671999999999999,29137.639,8.519,328.0,170.0
04SEP2026 01:17:00,1.284,28604.264,8.468,328.0,170.0
04SEP2026 01:18:00,1.3008,28084.188,8.417,328.0,170.0
04SEP2026 01:19:00,1.3175999999999999,27576.906,8.367,328.0,170.0
04SEP2026 01:20:00,1.3344,27082.125,8.317,328.0,170.0
04SEP2026 01:21:00,1.3512,26599.445,8.268,328.0,170.0
04SEP2026 01:22:00,1.3656,26128.43,8.22,328.0,170.0
04SEP2026 01:23:00,1.3824,25668.75,8.172,328.0,170.0
04SEP2026 01:24:00,1.3992,25220.098,8.125,328.0,170.0
04SEP2026 01:25:00,1.416,24782.094,8.079,328.0,170.0
04SEP2026 01:26:00,1.4328,24354.387,8.033,328.0,170.0
04SEP2026 01:27:00,1.4496,23936.727,7.987,328.0,170.0
04SEP2026 01:28:00,1.4664000000000001,23528.84,7.943,328.0,170.0
04SEP2026 01:29:00,1.4832,23130.381,7.898,328.0,170.0
04SEP2026 01:30:00,1.5,22741.039,7.855,328.0,170.0
04SEP2026 01:31:00,1.5168000000000001,22360.623,7.811,328.0,170.0
04SEP2026 01:32:00,1.5335999999999999,21988.861,7.769,328.0,170.0
04SEP2026 01:33:00,1.5504000000000002,21625.477,7.727,328.0,170.0
04SEP2026 01:34:00,1.5672,21270.199,7.685,328.0,170.0
04SEP2026 01:35:00,1.584,20922.898,7.644,328.0,170.0
04SEP2026 01:36:00,1.6008,20583.248,7.603,328.0,170.0
04SEP2026 01:37:00,1.6176,20251.119,7.563,328.0,170.0
04SEP2026 01:38:00,1.6343999999999999,19926.205,7.523,328.0,170.0
04SEP2026 01:39:00,1.6512,19608.375,7.484,328.0,170.0
04SEP2026 01:40:00,1.6656,19297.445,7.445,328.0,170.0
04SEP2026 01:41:00,1.6824,18993.164,7.407,328.0,170.0
04SEP2026 01:42:00,1.6992,18695.422,7.369,328.0,170.0
04SEP2026 01:43:00,1.7159999999999997,18403.988,7.331,328.0,170.0
04SEP2026 01:44:00,1.7328000000000001,18118.678,7.294,328.0,170.0
04SEP2026 01:45:00,1.7496,17839.381,7.258,328.0,170.0
04SEP2026 01:46:00,1.7664,17565.928,7.221,328.0,170.0
04SEP2026 01:47:00,1.7832000000000001,17298.16,7.185,328.0,170.0
04SEP2026 01:48:00,1.7999999999999998,17035.902,7.15,328.0,170.0
04SEP2026 01:49:00,1.8168000000000002,16779.045,7.115,328.0,170.0
04SEP2026 01:50:00,1.8336,16527.389,7.08,328.0,170.0
04SEP2026 01:51:00,1.8504,16280.876,7.046,328.0,170.0
04SEP2026 01:52:00,1.8672,16039.348,7.012,328.0,170.0
04SEP2026 01:53:00,1.884,15802.652,6.978,328.0,170.0
04SEP2026 01:54:00,1.9008000000000003,15570.703,6.945,328.0,170.0
04SEP2026 01:55:00,1.9176,15343.333,6.912,328.0,170.0
04SEP2026 01:56:00,1.9344000000000001,15120.463,6.88,328.0,170.0
04SEP2026 01:57:00,1.9512,14901.988,6.848,328.0,170.0
04SEP2026 01:58:00,1.9656,14687.77,6.816,328.0,170.0
04SEP2026 01:59:00,1.9824000000000002,14477.719,6.784,328.0,170.0
04SEP2026 02:00:00,1.9992,14271.739,6.753,328.0,170.0
04SEP2026 02:01:00,2.016,14069.698,6.722,328.0,170.0
04SEP2026 02:02:00,2.0328,13871.562,6.692,328.0,170.0
04SEP2026 02:03:00,2.0496,13677.143,6.661,328.0,170.0
04SEP2026 02:04:00,2.0664,13486.446,6.631,328.0,170.0
04SEP2026 02:05:00,2.0832,13299.351,6.602,328.0,170.0
04SEP2026 02:06:00,2.0999999999999996,13115.775,6.573,328.0,170.0
04SEP2026 02:07:00,2.1168,12935.589,6.544,328.0,170.0
04SEP2026 02:08:00,2.1336000000000004,12758.76,6.515,328.0,170.0
04SEP2026 02:09:00,2.1504,12585.206,6.486,328.0,170.0
04SEP2026 02:10:00,2.1672000000000002,12414.858,6.458,328.0,170.0
04SEP2026 02:11:00,2.184,12247.634,6.43,328.0,170.0
04SEP2026 02:12:00,2.2008,12083.415,6.403,328.0,170.0
04SEP2026 02:13:00,2.2176,11922.212,6.376,328.0,170.0
04SEP2026 02:14:00,2.2344,11763.918,6.348,328.0,170.0
04SEP2026 02:15:00,2.2512,11608.409,6.322,328.0,170.0
04SEP2026 02:16:00,2.2656,11455.75,6.295,328.0,170.0
04SEP2026 02:17:00,2.2824,11305.736,6.269,328.0,170.0
04SEP2026 02:18:00,2.2992,11158.434,6.243,328.0,170.0
04SEP2026 02:19:00,2.316,11013.728,6.217,328.0,170.0
04SEP2026 02:20:00,2.3327999999999998,10871.504,6.192,328.0,170.0
04SEP2026 02:21:00,2.3496,10731.788,6.166,328.0,170.0
04SEP2026 02:22:00,2.3663999999999996,10594.511,6.141,328.0,170.0
04SEP2026 02:23:00,2.3832,10459.612,6.117,328.0,170.0
04SEP2026 02:24:00,2.4000000000000004,10327.024,6.092,328.0,170.0
